advmean,advstd,ev,n_updates,opt_approxkl,opt_aux,opt_clipfrac,opt_dyn_loss,opt_ent,opt_feat_var,opt_pg,opt_tot,opt_vf,rank,recent_best_ext_ret,retmean,retstd,rew_mean,total_secs,tps,ups,vpredmean,vpredstd,tcount,best_ext_ret,epcount,eplen,eprew,eprew_recent
1.2010067,0.5324741,-0.014109134674072266,1,0.0,1.396486,0.0,0.28831872,1.3781147,0.030709546,0.034002032,0.914731,0.88210714,0,,1.086938,0.52875704,0.28060323,8.739214420318604,29.293250821813235,0.11442676102270795,-0.11406868,0.06881062,,,,,,
0.36671013,0.29680297,0.010416567325592041,2,2.220446e-16,1.4057283,0.0,0.08536972,1.3657863,0.027191488,0.29658327,0.39666554,0.10144806,0,,0.966798,0.29836097,0.109411165,10.861197710037231,120.64185483475002,0.47125724544824227,0.6000878,0.2605791,0.0,,,,,
0.39849842,0.39766222,0.20732009410858154,3,0.0,1.4961894,0.0,0.12559116,1.3683774,0.036277793,0.1603615,0.2363639,0.07737078,0,,1.36239,0.446648,0.1266962,12.99719524383545,119.85032564376718,0.46816533454596554,0.9638917,0.28796232,0.0,,,,,
0.33069775,0.24188225,-0.0734628438949585,4,2.220446e-16,1.0385566,0.0,0.11379767,1.3581018,0.053069234,-0.2770775,-0.19390228,0.0845333,0,0.0,1.6189475,0.23345892,0.12427491,15.24815320968628,113.72935607139854,0.44425529715390055,1.2882497,0.21154219,252.0,0.0,2.0,126.0,0.0,0.0
0.08600825,0.17541988,0.5740460157394409,5,2.220446e-16,1.2443445,0.0,0.17452401,1.3339555,0.065552264,-1.5811423,-1.5107031,0.0717732,0,0.0,1.7317389,0.26878032,0.10499501,17.64520263671875,106.79796466146553,0.4171795494588497,1.6457306,0.22507732,527.0,0.0,4.0,131.75,0.0,0.0
0.15651213,0.24881253,0.7745768576860428,6,6.217249e-15,1.422829,0.0,0.11583706,1.3346307,0.0533943,0.4780163,0.4954517,0.018770035,0,,1.816418,0.52405035,0.109145,19.892236471176147,113.92796853983181,0.445031127108718,1.6599059,0.3865594,527.0,0.0,4.0,131.75,0.0,0.0
0.23754397,0.2930673,-0.747789740562439,7,2.220446e-16,1.0269148,0.0,0.105737306,1.3736018,0.06565891,0.15885773,0.18162376,0.024139632,0,2.0,1.6449988,0.2216781,0.1097357,22.232930660247803,109.36926369759237,0.4272236863187202,1.4074548,0.26979017,935.0,2.0,6.0,155.83333333333334,0.6666666666666666,2.0
0.28199735,0.16398397,0.2909102439880371,8,3.996803e-15,0.8383885,0.0,0.12856951,1.3711522,0.111808576,-0.17732647,-0.11949004,0.059207574,0,,1.8824403,0.19473805,0.13217804,24.448587656021118,115.5413498065616,0.45133339768188124,1.6004429,0.22499217,935.0,2.0,6.0,155.83333333333334,0.6666666666666666,2.0
0.28071558,0.21662813,-0.11200356483459473,9,2.220446e-16,0.76670706,0.0,0.15439638,1.3080153,0.14892156,-0.15590712,-0.091223136,0.065992,0,3.0,2.3460522,0.20542899,0.14955848,26.773142099380493,110.12863163146079,0.4301899673103937,2.0653367,0.22699644,1346.0,3.0,8.0,168.25,0.875,1.5
0.23362456,0.22150575,0.11673909425735474,10,2.220446e-16,0.58312047,0.0,0.15693396,1.3191667,0.19586073,0.07627062,0.109008834,0.034057386,0,4.0,2.810166,0.23568964,0.16443583,29.144104719161987,107.97302237670569,0.4217696186590066,2.576541,0.24012217,1817.0,4.0,10.0,181.7,1.2,2.5
0.15813236,0.21580872,-0.35832929611206055,11,4.440892e-16,0.46445557,0.0,0.12983054,1.2967666,0.21133183,1.0600656,1.067582,0.0088132,0,2.0,3.0313346,0.1851682,0.14431728,31.39993143081665,113.48389425366028,0.4432964619283605,2.8732023,0.240128,2024.0,4.0,11.0,184.0,1.2727272727272727,2.0
0.07199816,0.20886803,0.14374059438705444,12,7.605028e-15,0.4394945,0.0,0.14506277,1.2678638,0.23147799,0.7781377,0.8008133,0.023943502,0,2.0,3.5221727,0.22571962,0.15624732,33.746662855148315,109.08789874533991,0.42612460447398404,3.4501746,0.2576025,2423.0,4.0,13.0,186.3846153846154,1.3076923076923077,1.5
0.10108043,0.16602486,0.08040386438369751,13,3.469447e-15,0.27594128,0.0,0.1301751,1.1791198,0.26494658,0.3985302,0.4007067,0.0033556442,0,1.0,3.4061897,0.17313088,0.14351334,36.07456731796265,109.97014872788533,0.4295708934683021,3.305109,0.1817614,2610.0,4.0,14.0,186.42857142857142,1.2857142857142858,1.0
0.06675592,0.21036157,-0.19688045978546143,14,5.939693e-15,0.44653255,0.0,0.12423788,1.1916238,0.27841017,0.72284937,0.7330333,0.011375531,0,,3.3527927,0.19228306,0.14348775,38.39394974708557,110.37420857620556,0.431149252250803,3.286037,0.20968795,2610.0,4.0,14.0,186.42857142857142,1.2857142857142858,1.0
